id,name,vendor_id,type_id,coilMin,coilMax,dual
1787c303-c251-4bba-b24e-7a1cd35ac37c,Extreme 23mm,da7d69c0-8de7-4e51-b350-7658553db8c0,a135e1c9-9fe8-4bdf-9bc6-84214eee3a0f,0.20,0.35,1
1f9e9a42-22da-4e61-a1a2-1bc14c9ac381,Brunhilde MTL RTA,23c4d51e-56db-4b7e-8bc6-e4d5d37922a5,a135e1c9-9fe8-4bdf-9bc6-84214eee3a0f,0.25,0.40,0
23d20ce2-13cc-427f-846b-63cf36818951,Expromizer V5 MTL RTA,b26d1411-02f7-4e45-b34a-30ca0794df5e,6fec477c-8f18-4c9e-82aa-e280f1fe9a07,,,0
2889a45f-66fa-4c22-96e1-82d129909baf,Ripley RDTA,6f185e1f-8ded-446c-bac3-89b88164f9cd,a135e1c9-9fe8-4bdf-9bc6-84214eee3a0f,,,0
2aa1aaa7-0ee2-41a3-8c34-c4858e662bf9,Extreme 2 23mm,da7d69c0-8de7-4e51-b350-7658553db8c0,a135e1c9-9fe8-4bdf-9bc6-84214eee3a0f,,,1
5a9d0220-972a-45e1-8b3c-c94f6ae0f381,Roulette RTA,25d1c0b0-e0fe-45e7-9833-4d2c540a2fce,6fec477c-8f18-4c9e-82aa-e280f1fe9a07,0.20,0.35,0
60e83c86-5590-44a8-b578-3106c2a26cf0,Bushido V3 RDA,5e6e0dff-5ab1-4d88-b7dd-405415f45fff,26b8cf6b-fef0-4719-92f8-7435e8c7d9ef,,0.30,0
61c38690-f905-40d6-9969-98cd899ce5cd,Kayfun Lite 24mm RTA,71e1d4ad-128d-4094-b5e7-bf3a47679a0f,6fec477c-8f18-4c9e-82aa-e280f1fe9a07,0.20,0.30,0
6dfca045-fa20-44a0-86db-6dfa497ae1c5,Prestige KUMO RDTA,4352df48-026d-4bba-9fb5-c508892bc25c,a135e1c9-9fe8-4bdf-9bc6-84214eee3a0f,,,0
7ab5b756-cf72-484e-bed0-d26c3547f0af,Bishop MTL RTA,6f185e1f-8ded-446c-bac3-89b88164f9cd,6fec477c-8f18-4c9e-82aa-e280f1fe9a07,,,0
7d163f70-a4c1-482a-83a9-b9afab5aab0f,Expromizer V3 Fire MTL RTA,b26d1411-02f7-4e45-b34a-30ca0794df5e,6fec477c-8f18-4c9e-82aa-e280f1fe9a07,,,0
8d4e9063-9928-4d65-bf79-83064c8f62ed,OG 2021,c2ce306a-e4ee-4444-8d92-88280227eef7,6fec477c-8f18-4c9e-82aa-e280f1fe9a07,0.20,0.30,0
8f4fca2c-9c4a-4185-a253-95f28ef2cbc7,Trio RTA,a61c0c56-add5-4c39-98d7-df52bd726289,6fec477c-8f18-4c9e-82aa-e280f1fe9a07,,,0
a19b0506-710f-4114-8e4a-239a4328cab1,Aston RDTA 22mm,9f5b0635-3d8c-4863-8c7b-cc18d6fc854b,a135e1c9-9fe8-4bdf-9bc6-84214eee3a0f,0.25,0.35,0
c16294e5-21f1-409a-9556-b13e2ca191bd,Taifun GT IV S,50c9530a-1132-4771-b4f6-f49207304ae3,6fec477c-8f18-4c9e-82aa-e280f1fe9a07,0.20,0.40,0
e7b868e8-fbb3-4f42-b307-dc8af6806efb,Kronos 2 S 23mm,da7d69c0-8de7-4e51-b350-7658553db8c0,6fec477c-8f18-4c9e-82aa-e280f1fe9a07,0.20,0.40,0
ee373ab0-bce6-44d0-93f4-55b963ba68fd,APEX RDA,5b57e685-679e-42a9-a918-b72d69507661,26b8cf6b-fef0-4719-92f8-7435e8c7d9ef,0.20,0.30,0
f1cb38c0-230f-4746-96db-58077d64c7de,MTL RTA 23mm,da7d69c0-8de7-4e51-b350-7658553db8c0,6fec477c-8f18-4c9e-82aa-e280f1fe9a07,0.20,0.25,0
