id,wraps,wire_id,stamp,size,spaced,ohm,nominalOhm
0c3b5de3-00b6-4212-91e6-dfbcb2b38fe3,6,0c6239fe-2c39-454c-823a-e0bd3f5e6bd7,2022-03-07 10:56:58.0,0.30,0,0.93,0.517
0f38e20d-4c65-4095-8c58-7335f3c40a48,6,e163cea4-d823-4227-ab8c-0e3d214f2ecb,2022-02-20 00:54:02.0,0.25,1,2.40,1.600
335dfc4e-8681-409e-8f0a-c60ed93fc058,7,a592df7e-5955-493d-95bd-a6966e69cf60,2022-02-27 01:03:36.0,0.30,0,1.20,0.571
39726ef8-db88-4dbb-88d8-cec44e5942cf,7,a592df7e-5955-493d-95bd-a6966e69cf60,2022-03-05 01:34:10.0,0.35,0,1.32,0.539
43ab5b24-0b45-42d1-a6b3-f5b90a85b715,6,a592df7e-5955-493d-95bd-a6966e69cf60,2022-02-22 10:26:58.0,0.30,0,1.27,0.706
50731399-4caa-40ca-a41e-8f701930aa38,7,788e213e-53ac-4bb4-a1f9-708d8ebc7b70,2022-02-22 16:54:28.0,0.25,0,0.73,0.417
51afa3ec-8f03-4d8c-84ab-2ce2bbaff2a8,6,a592df7e-5955-493d-95bd-a6966e69cf60,2022-03-06 00:39:05.0,0.25,0,1.00,0.667
59195b5b-fdbd-435d-9d3a-5eefb9685144,6,90127e8d-fe52-44ae-9e32-1e4418f5faff,2022-02-14 01:32:16.0,0.30,0,0.30,0.167
70bc59e4-6c46-4353-ab70-b87d2143d7ee,7,3a5effc2-9c10-486d-b9d3-f9612a0cd5a2,2022-02-18 12:37:11.0,0.30,0,0.91,0.433
896b9a3a-85fb-47bd-a0d7-9566c3adfc12,6,a592df7e-5955-493d-95bd-a6966e69cf60,2022-03-07 09:59:43.0,0.35,0,1.34,0.638
8f6cb4a2-8498-4a81-be58-5c569dbfcf7c,7,0c6239fe-2c39-454c-823a-e0bd3f5e6bd7,2022-02-26 18:05:39.0,0.25,0,0.89,0.509
a28d1763-a6a2-48f2-a458-174e2a0de73b,7,0c6239fe-2c39-454c-823a-e0bd3f5e6bd7,2022-02-14 05:28:06.0,0.30,0,1.10,0.524
b15f8038-648c-4497-b98d-6e9b87bda32c,8,0c6239fe-2c39-454c-823a-e0bd3f5e6bd7,2022-02-14 03:01:12.0,0.30,0,1.24,0.517
b9d5845a-66c3-4f5e-a421-b32320cd8688,9,1fea020b-ca5a-42f7-a6f7-f34e5dcc53e5,2022-03-03 08:28:21.0,0.30,0,1.04,0.385
c79bda86-ef57-4115-b0df-441d2da5fe2c,8,1fea020b-ca5a-42f7-a6f7-f34e5dcc53e5,2022-02-14 07:39:20.0,0.30,0,1.02,0.425
efe6a03e-726e-48bb-aa5c-88b9c274f935,5,5398af0c-0eee-4044-8623-6f169c55c169,2022-03-10 08:35:11.0,0.25,0,0.38,0.304
f4cdef18-46ea-462b-9ce7-43ee7c39f52e,4,d60d7eae-4918-4765-b0b6-340e62927cb6,2022-03-06 13:14:47.0,0.25,1,0.49,0.490
f97801b9-407f-48c8-a0d4-745ca3b5e66d,6,6771287c-464a-42e3-b90d-c452edb75a16,2022-02-17 10:48:42.0,0.25,0,0.73,0.483
fa090078-c35f-4cb8-926a-c21dc3d3285e,7,a592df7e-5955-493d-95bd-a6966e69cf60,2022-02-14 11:17:26.0,0.25,0,1.10,0.629
