name;category;code
Lost Vape;mod;lost-vape.mod
Ambition Mods;mod;ambition-mods.mod
GeekVape;mod;geekvape.mod
Uwell;mod;uwell.mod
E-leaf;mod;e-leaf.mod
Sony;battery;sony.battery
LG;battery;lg.battery
Samsung;battery;samsung.battery
Liqua;liquid;liqua.liquid
Vicious Ant;atomizer;vicious-ant.atomizer
Aspire;mod;aspire-mod
SmokerStore;atomizer;smokerstore.atomizer
BP Mods;atomizer;bp-mods.atomizer
SmokerStore;driptip;smokerstore.driptip
SmokerStore;mod;smokerstore.mod
Asmodus;mod;asmodus.mod
Asmodus;atomizer;Asmodus.atomizer
The Crazy Wire;wire;the-crazy-wire.wire
Super Sorb;cotton;super-sorb.cotton
Nasty Juice;cotton;nasty-juice.cotton
Nasty Juice;liquid;nasty-juice.liquid
Dinner Lady;liquid;dinner lady.liquid
Dicodes;mod;dicodes.mod
BP Mods;mod;bp-mods.mod
Cthulhu;mod;cthulhu.mod
Diamond Mist;mod;diamond-mist.mod
Digiflavor;mod;digiflavor.mod
Dotmod;mod;dotmod.mod
Dovpo;mod;dovpo.mod
Ehpro;mod;ehpro.mod
ElcigART;mod;elcigart.mod
Fakirsmods;mod;fakirsmods.mod
Joyetech;mod;joyetech.mod
Mark Bugs;mod;mark-bugs.mod
Mechlyfe;mod;mechlyfe.mod
Ohm Boy;mod;ohm-boy.mod
Smoktech;mod;smoktech.mod
Smoktech;atomizer;smoktech.atomizer
Squid Industries;mod;squid-industries.mod
Steam Crave;mod;steam-crave.mod
Sunbox;mod;sunbox.mod
Ultroner;mod;ultroner.mod
Vandy Vape;mod;vandy-vape.mod
Vandy Vape;wire;vandy-vape.wire
Vandy Vape;coil;vandy-vape.coil
Vandy Vape;atomizer;vandy-vape.atomizer
Vaptio;mod;vaptio.mod
VGOD;mod;vgod.mod
VooPoo;mod;voopoo.mod
Yihi;mod;yihi.mod
Yihi;atomizer;yihi.atomizer
Flavormonks;liquid;flavormonks.liquid
Frutie;liquid;frutie.liquid
Imperia;liquid;imperia.liquid
Imperia;base;imperia.base
Infamous;liquid;infamous.liquid
PJ Empire;liquid;pj-empire.liquid
Coilology;wire;coilology.wire
Vapor Giant;atomizer;vapor-giant.atomizer
KamryTech;mod;kamrytech.mod
Vape Only;mod;vape-only.mod
Vapor Giant;mod;vapor-giant.mod
CoilArt;mod;coilart.mod
Rev Tech;mod;rev-tech.mod
